"11Giraffes","https://manage.11giraffes.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[4]/td/input\", \"learned_xpath_username_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[2]/td/input\", \"learned_xpath_username\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_UserName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[7]/td/input\", \"learned_xpath_click\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_LoginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_Password\"}"
"AdReady","https://www.adready.com/session/new","{\"learned_xpath_click\": \"#sign_in_button\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#email\"}"
"ADrive","https://www.adrive.com/login","{\"learned_xpath_click\": \"HTML BODY DIV DIV DIV BUTTON.style_btn:nth-child(3)\", \"learned_xpath_password\": \"#passwrd\", \"learned_xpath_username\": \"#email\"}"
"adSpeed","https://www.adspeed.com/Users/login.html","{\"learned_xpath_username\": \"FORM[NAME\\u003d\\u0027fLogin1\\u0027] INPUT[id\\u003d\\u0027UserName\\u0027]\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click\": \"FORM[NAME\\u003d\\u0027fLogin1\\u0027] BUTTON[type\\u003d\\u0027submit\\u0027]\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"FORM[NAME\\u003d\\u0027fLogin1\\u0027] INPUT[id\\u003d\\u0027UserPasswd\\u0027]\"}"
"Advent","https://login.advent.com/","{\"learned_xpath_click\": \"#loginbutton\", \"learned_xpath_password\": \"#Password\", \"learned_xpath_username\": \"#Email\"}"
"Aerohive","https://myhive-auth.aerohive.com/cas/login","{\"learned_xpath_click\": \"INPUT[class\\u003d\\u0027cta\\u0027][name\\u003d\\u0027submit\\u0027][accesskey\\u003d\\u0027l\\u0027][tabindex\\u003d\\u00274\\u0027][type\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#username\"}"
"Aetna","https://member.aetna.com/appConfig/login/login.fcc","{\"learned_xpath_password_xpath\": \"/html/body/div[1]/section/div[4]/div/div/div/form/fieldset/div[2]/div/input\", \"learned_xpath_username_xpath\": \"/html/body/div[1]/section/div[4]/div/div/div/form/fieldset/div/div/input\", \"learned_xpath_username\": \"#userName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/div[1]/section/div[4]/div/div/div/form/fieldset/div[3]/div/button\", \"learned_xpath_click\": \"#secureLogin-btn\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#password\"}"
"Affiliate Window","https://darwin.affiliatewindow.com/legacy-login","{\"learned_xpath_click\": \"#login\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#email\"}"
"Aflac","https://login.aflac.com/?ReturnURL=https://my.aflac.com/portal/sso/SSOLogin.aspx","{\"learned_xpath_click\": \"#lnkSubmit\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#userid\"}"
"AgileZen","https://agilezen.com/login","{\"learned_xpath_click\": \"HTML BODY DIV DIV DIV DIV DIV FORM DIV BUTTON\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#userName\"}"
"Agiloft Hosted Server","http://www.agiloft.com/customer-login.htm","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][class\\u003d\\u0027btn-u bold rounded\\u0027][name\\u003d\\u0027submitName\\u0027]\", \"learned_xpath_password\": \"#inputPassword\", \"learned_xpath_username\": \"#inputUser\"}"
